songid,song,performer,peak,start_week,end_week,start_peak,end_peak,weeks_to_hot,weeks_hot,tail_weeks,time_at_top_10,climb_slope,tail_slope,avg_position,weeks_on_chart,instance,group
StillBill Anderson,Still,Bill Anderson,8.0,1963-04-13,1963-07-20,1963-06-08,1963-06-22,8.0,3.0,4.0,3.0,11.375,7.0,34.06666666666667,15.0,1.0,9
Saturday NightBay City Rollers,Saturday Night,Bay City Rollers,1.0,1975-10-11,1976-01-31,1975-12-06,1976-01-10,8.0,6.0,3.0,6.0,9.5,15.333333333333334,27.58823529411765,17.0,1.0,2
Pop MuzikM,Pop Muzik,M,1.0,1979-08-11,1980-01-19,1979-10-06,1979-12-01,8.0,9.0,7.0,9.0,6.625,12.857142857142858,25.208333333333332,24.0,1.0,5
CarrieEurope,Carrie,Europe,3.0,1987-08-01,1987-12-05,1987-09-26,1987-10-24,8.0,5.0,6.0,5.0,8.125,15.0,35.73684210526316,19.0,1.0,5
CasanovaLevert,Casanova,Levert,5.0,1987-08-15,1987-12-12,1987-10-10,1987-10-31,8.0,4.0,6.0,4.0,10.0,15.166666666666666,34.666666666666664,18.0,1.0,0
Party LightsClaudine Clark,Party Lights,Claudine Clark,5.0,1962-06-30,1962-10-06,1962-08-25,1962-09-08,8.0,3.0,4.0,3.0,11.0,12.5,34.46666666666667,15.0,1.0,9
CandidaDawn,Candida,Dawn,3.0,1970-07-25,1970-11-21,1970-09-19,1970-11-07,8.0,8.0,2.0,8.0,11.0,8.5,28.0,18.0,1.0,2
Only The YoungJourney,Only The Young,Journey,9.0,1985-01-26,1985-05-11,1985-03-23,1985-03-23,8.0,1.0,7.0,1.0,4.25,12.142857142857142,37.375,16.0,1.0,0
St. Elmo's Fire (Man In Motion)John Parr,St. Elmo's Fire (Man In Motion),John Parr,1.0,1985-06-22,1985-11-16,1985-08-17,1985-09-28,8.0,7.0,7.0,7.0,10.375,13.0,35.81818181818182,22.0,1.0,5
Crush On YouThe Jets,Crush On You,The Jets,3.0,1986-04-12,1986-08-23,1986-06-07,1986-07-05,8.0,5.0,7.0,5.0,8.125,13.285714285714286,35.0,20.0,1.0,5
Take Your Time (Do It Right) Part 1The S.O.S. Band,Take Your Time (Do It Right) Part 1,The S.O.S. Band,3.0,1980-05-31,1980-10-18,1980-07-26,1980-09-06,8.0,7.0,6.0,7.0,9.875,13.333333333333334,34.857142857142854,21.0,1.0,5
Self ControlLaura Branigan,Self Control,Laura Branigan,4.0,1984-04-14,1984-09-29,1984-06-09,1984-07-14,8.0,6.0,11.0,6.0,6.75,8.272727272727273,36.64,25.0,1.0,5
1-2-3Gloria Estefan & Miami Sound Machine,1-2-3,Gloria Estefan & Miami Sound Machine,3.0,1988-06-04,1988-10-08,1988-07-30,1988-08-27,8.0,5.0,6.0,5.0,8.5,14.0,33.36842105263158,19.0,1.0,5
All Night LongFaith Evans Featuring Puff Daddy,All Night Long,Faith Evans Featuring Puff Daddy,9.0,1999-02-06,1999-06-12,1999-04-03,1999-04-10,8.0,2.0,9.0,2.0,7.75,8.11111111111111,42.05263157894737,19.0,1.0,0
Dance MonkeyTones And I,Dance Monkey,Tones And I,9.0,2019-10-19,2019-12-28,2019-12-21,2019-12-21,9.0,1.0,1.0,1.0,9.666666666666666,2.0,33.81818181818182,11.0,1.0,9
Broken WingsMr. Mister,Broken Wings,Mr. Mister,1.0,1985-09-21,1986-02-15,1985-11-16,1986-01-11,8.0,9.0,5.0,9.0,9.625,13.4,28.136363636363637,22.0,1.0,5
Beast Of BurdenThe Rolling Stones,Beast Of Burden,The Rolling Stones,8.0,1978-09-09,1978-12-02,1978-11-04,1978-11-11,8.0,2.0,3.0,2.0,7.625,28.666666666666668,34.23076923076923,13.0,1.0,9
CenterfoldThe J. Geils Band,Centerfold,The J. Geils Band,1.0,1981-11-07,1982-04-24,1982-01-09,1982-03-27,9.0,12.0,4.0,12.0,6.888888888888889,23.0,22.76,25.0,1.0,5
Do You Feel Like We DoPeter Frampton,Do You Feel Like We Do,Peter Frampton,10.0,1976-09-18,1977-01-15,1976-11-13,1976-11-20,8.0,2.0,8.0,2.0,8.375,9.5,41.666666666666664,18.0,1.0,0
Run It!Chris Brown,Run It!,Chris Brown,1.0,2005-08-27,2006-05-13,2005-10-22,2006-02-11,8.0,17.0,13.0,17.0,10.5,3.076923076923077,22.36842105263158,38.0,1.0,3
Paperback WriterThe Beatles,Paperback Writer,The Beatles,1.0,1966-06-11,1966-08-13,1966-06-25,1966-07-23,2.0,5.0,3.0,5.0,13.5,10.333333333333334,12.5,10.0,1.0,2
Penny LaneThe Beatles,Penny Lane,The Beatles,1.0,1967-02-25,1967-04-29,1967-03-11,1967-04-08,2.0,5.0,3.0,5.0,40.0,6.333333333333333,19.7,10.0,1.0,2
AmericansByron MacGregor,Americans,Byron MacGregor,4.0,1974-01-05,1974-03-23,1974-01-26,1974-02-16,3.0,4.0,5.0,4.0,18.333333333333332,15.2,27.833333333333332,12.0,1.0,9
